,file_name,angry,disgust,fear,happy,neutral,sad,surprise
0,Sess01_script01_User001F_004.wav,0.12863387,0.14458138,0.20861986,0.054523163,0.25719813,0.1322803,0.07416326
1,Sess01_script01_User001F_015.wav,0.08993267,0.2465369,0.110364735,0.041444067,0.27661502,0.14132643,0.09378015
2,Sess01_script01_User002M_007.wav,0.07899383,0.120978385,0.12232551,0.066066206,0.45984498,0.104716286,0.04707485
3,Sess01_script01_User002M_008.wav,0.071056366,0.040251926,0.10967947,0.22230476,0.41988665,0.068209514,0.06861124
4,Sess01_script01_User002M_009.wav,0.07019742,0.04946204,0.09699601,0.08575993,0.59913504,0.053407732,0.04504183
5,Sess01_script01_User002M_011.wav,0.08561195,0.123075224,0.17104025,0.07829081,0.33706412,0.14458457,0.060333088
6,Sess01_script01_User002M_014.wav,0.0922895,0.11029727,0.15195923,0.08311759,0.26141858,0.2121589,0.08875894
7,Sess01_script01_User002M_032.wav,0.06917273,0.08996023,0.11958029,0.06444742,0.4849462,0.11996699,0.051926106
8,Sess01_script01_User002M_033.wav,0.093402855,0.10243624,0.1513912,0.07201501,0.28878385,0.21504392,0.07692704
9,Sess01_script01_User002M_036.wav,0.03538476,0.042692263,0.12850586,0.026790662,0.7052512,0.030627718,0.030747605
10,Sess01_script01_User002M_037.wav,0.109069176,0.10353592,0.13197546,0.06597032,0.40799162,0.095614865,0.08584263
11,Sess01_script01_User002M_038.wav,0.0731507,0.083894186,0.12285963,0.05968468,0.5003236,0.1045215,0.055565763
12,Sess01_script01_User002M_039.wav,0.102409706,0.14717497,0.12887572,0.07449228,0.27829716,0.18917035,0.079579756
13,Sess01_script02_User001F_011.wav,0.024913684,0.02567355,0.054213878,0.0148320515,0.842251,0.020194726,0.017921135
14,Sess01_script02_User002M_007.wav,0.09408223,0.13170941,0.09546359,0.15997058,0.28629577,0.13997698,0.09250149
15,Sess01_script02_User002M_018.wav,0.07244486,0.08378719,0.14269522,0.08087769,0.49311534,0.08762768,0.039451953
16,Sess01_script02_User002M_023.wav,0.14148375,0.083215125,0.1420943,0.057962164,0.41694483,0.078687616,0.07961226
17,Sess01_script03_User001F_001.wav,0.076700866,0.07532903,0.1576673,0.09954079,0.45451945,0.06653058,0.06971204
18,Sess01_script03_User001F_002.wav,0.09164431,0.11202567,0.13494746,0.072458275,0.3038879,0.15551758,0.12951879
19,Sess01_script03_User001F_003.wav,0.083024025,0.11068958,0.14335364,0.073404975,0.38233656,0.123085946,0.084105186
20,Sess01_script03_User001F_008.wav,0.027136197,0.049395997,0.079117864,0.025458908,0.75842154,0.028819794,0.03164968
21,Sess01_script03_User001F_009.wav,0.054530654,0.048906073,0.14631256,0.036719523,0.56271815,0.09203282,0.058780298
22,Sess01_script03_User001F_010.wav,0.08606913,0.17135955,0.13833995,0.151004,0.26269677,0.07640641,0.1141242
23,Sess01_script03_User001F_011.wav,0.025140246,0.04179587,0.06167187,0.019545238,0.8104414,0.02189345,0.019511944
24,Sess01_script03_User002M_009.wav,0.083906814,0.06340326,0.11815108,0.11829613,0.41741592,0.12743302,0.07139382
