,label,file_name,angry,disgust,fear,happy,neutral,sad,surprise
0,0.0,Sess01_script01_User001F_001.wav,0.10865825,0.12375927,0.1631472,0.077576846,0.35553163,0.09026964,0.0810572
1,0.0,Sess01_script01_User001F_002.wav,0.09211306,0.1304285,0.21674475,0.063602805,0.32548437,0.09416427,0.07746226
2,0.0,Sess01_script01_User001F_003.wav,0.041212104,0.0922734,0.13035902,0.033352833,0.594373,0.059997134,0.048432536
3,0.0,Sess01_script01_User001F_005.wav,0.07215704,0.1088467,0.24646895,0.051412728,0.41222593,0.05647068,0.052418027
4,0.0,Sess01_script01_User001F_006.wav,0.11487123,0.19286878,0.15240012,0.091673434,0.16972597,0.17731932,0.10114108
5,0.0,Sess01_script01_User001F_007.wav,0.07416967,0.11278862,0.1309411,0.041835483,0.49285436,0.0841639,0.06324682
6,0.0,Sess01_script01_User001F_008.wav,0.11122906,0.12898037,0.11344177,0.066780426,0.31465256,0.19023485,0.07468091
7,0.0,Sess01_script01_User001F_009.wav,0.093873896,0.096964106,0.12915418,0.087987415,0.28980044,0.20007308,0.102146916
8,0.0,Sess01_script01_User001F_010.wav,0.06148624,0.061492022,0.17768429,0.042201817,0.5446348,0.06593275,0.046568073
9,0.0,Sess01_script01_User001F_011.wav,0.062794186,0.0791347,0.20999762,0.042978752,0.52543306,0.040077645,0.03958406
10,0.0,Sess01_script01_User001F_012.wav,0.11708675,0.12695242,0.18731427,0.07330862,0.3538391,0.06689294,0.074605875
11,0.0,Sess01_script01_User001F_013.wav,0.10732174,0.12850231,0.12109085,0.06771471,0.34129673,0.16001146,0.07406225
12,0.0,Sess01_script01_User001F_014.wav,0.060481835,0.11435981,0.1994633,0.0432679,0.42387918,0.09656778,0.061980214
13,0.0,Sess01_script01_User002M_001.wav,0.046881318,0.0717035,0.104624085,0.059660476,0.6190725,0.06428069,0.033777475
14,0.0,Sess01_script01_User002M_002.wav,0.045688484,0.06247714,0.091694206,0.035258546,0.69140035,0.0453619,0.028119395
15,0.0,Sess01_script01_User002M_003.wav,0.050470907,0.0511547,0.087897435,0.053741552,0.6267381,0.09172699,0.03827039
16,0.0,Sess01_script01_User002M_004.wav,0.09935813,0.08133661,0.13203052,0.130092,0.31618014,0.18602791,0.054974716
17,0.0,Sess01_script01_User002M_005.wav,0.04231872,0.07075725,0.14557695,0.04695913,0.6359574,0.036152195,0.022278361
18,0.0,Sess01_script01_User002M_006.wav,0.07442534,0.07653618,0.14180966,0.06446112,0.499019,0.101485424,0.04226329
19,0.0,Sess01_script01_User002M_010.wav,0.05229582,0.057040423,0.12057635,0.044902913,0.59187526,0.10347446,0.029834773
20,0.0,Sess01_script01_User002M_012.wav,0.06469671,0.08417428,0.11413514,0.056392275,0.51307166,0.119807936,0.047722008
21,0.0,Sess01_script01_User002M_013.wav,0.098171145,0.11857053,0.37639248,0.07380984,0.1956139,0.06496065,0.07248148
22,0.0,Sess01_script01_User002M_015.wav,0.08622801,0.12285039,0.13512649,0.08982144,0.29900706,0.2178927,0.04907394
23,0.0,Sess01_script01_User002M_016.wav,0.09942271,0.12049066,0.1552909,0.09125616,0.3078164,0.1417103,0.08401283
24,0.0,Sess01_script01_User002M_017.wav,0.054901347,0.07644925,0.11931811,0.033971783,0.6415176,0.04856185,0.025280137
25,0.0,Sess01_script01_User002M_018.wav,0.07815887,0.09419805,0.1073901,0.055803876,0.4789419,0.12558042,0.0599268
26,0.0,Sess01_script01_User002M_019.wav,0.087987855,0.097185805,0.1633905,0.07626941,0.42158446,0.113656394,0.039925598
27,0.0,Sess01_script01_User002M_020.wav,0.05702302,0.06865462,0.20805742,0.058792405,0.4723259,0.081229046,0.053917676
28,0.0,Sess01_script01_User002M_021.wav,0.089239605,0.084744446,0.16542809,0.069880344,0.44588214,0.10501429,0.03981114
29,0.0,Sess01_script01_User002M_022.wav,0.09246208,0.10830631,0.13663751,0.07795085,0.43353266,0.08295037,0.068160206
30,0.0,Sess01_script01_User002M_023.wav,0.06299804,0.07936107,0.1229806,0.05272879,0.50738025,0.12360309,0.050948143
31,0.0,Sess01_script01_User002M_024.wav,0.070607714,0.07593459,0.117792495,0.058289535,0.48422655,0.15254007,0.04060902
32,0.0,Sess01_script01_User002M_025.wav,0.09977724,0.096840784,0.32766342,0.08443537,0.17898276,0.13790488,0.07439565
33,0.0,Sess01_script01_User002M_026.wav,0.07448613,0.06682618,0.135837,0.07666663,0.32066277,0.24318777,0.0823335
34,0.0,Sess01_script01_User002M_027.wav,0.08474395,0.08314073,0.12291893,0.072671205,0.36007005,0.19096544,0.08548963
35,0.0,Sess01_script01_User002M_028.wav,0.060394645,0.064381905,0.10447215,0.054150123,0.60090095,0.0662663,0.049433913
36,0.0,Sess01_script01_User002M_029.wav,0.09244705,0.09411372,0.21651791,0.08706236,0.33472875,0.11032403,0.064806186
37,0.0,Sess01_script01_User002M_030.wav,0.10515409,0.08985584,0.19460621,0.10126834,0.20747566,0.21349959,0.08814031
38,0.0,Sess01_script01_User002M_031.wav,0.08992691,0.099812254,0.11315525,0.07854843,0.32120752,0.22489876,0.07245093
39,0.0,Sess01_script01_User002M_034.wav,0.10953357,0.12893637,0.11326326,0.08191082,0.16888073,0.3284306,0.06904466
40,0.0,Sess01_script01_User002M_035.wav,0.092683986,0.08246292,0.17367144,0.0804325,0.3687853,0.12773173,0.07423208
41,0.0,Sess01_script02_User001F_001.wav,0.026188353,0.03694151,0.11493858,0.028979814,0.7284059,0.03219495,0.03235083
42,0.0,Sess01_script02_User001F_002.wav,0.06650179,0.16274202,0.15373495,0.057467125,0.4209316,0.074399635,0.06422279
43,0.0,Sess01_script02_User001F_003.wav,0.053074136,0.104237184,0.20899257,0.037995685,0.515096,0.046589255,0.034015246
44,0.0,Sess01_script02_User001F_004.wav,0.0713662,0.09139934,0.11017628,0.05388361,0.49057117,0.097632766,0.0849707
45,0.0,Sess01_script02_User001F_005.wav,0.026574846,0.068401255,0.10546055,0.029460242,0.6944957,0.037506595,0.03810078
46,0.0,Sess01_script02_User001F_006.wav,0.036929555,0.06415273,0.08814072,0.023201881,0.69989353,0.047073107,0.040608466
47,0.0,Sess01_script02_User001F_007.wav,0.11289524,0.12107133,0.2808363,0.06896367,0.29394507,0.059574984,0.06271336
48,0.0,Sess01_script02_User001F_008.wav,0.08968973,0.11433178,0.16012098,0.0601784,0.40667012,0.1140281,0.054980963
49,0.0,Sess01_script02_User001F_009.wav,0.08210194,0.12625583,0.20635833,0.07191836,0.39029372,0.06820806,0.054863755
50,0.0,Sess01_script02_User001F_010.wav,0.071762785,0.118030064,0.12998433,0.06594881,0.45020202,0.08979205,0.07427996
51,0.0,Sess01_script02_User001F_012.wav,0.08105271,0.09305453,0.11564888,0.05079129,0.4463982,0.13184898,0.081205495
52,0.0,Sess01_script02_User001F_013.wav,0.06311115,0.07965481,0.12357782,0.052834116,0.5219045,0.105216816,0.053700816
53,0.0,Sess01_script02_User001F_014.wav,0.09366346,0.09806477,0.2149964,0.07429015,0.2737573,0.16434969,0.080878235
54,0.0,Sess01_script02_User002M_001.wav,0.06284408,0.057995424,0.12818868,0.056417238,0.5832632,0.081579454,0.029711848
55,0.0,Sess01_script02_User002M_002.wav,0.063762076,0.05242585,0.18360294,0.07423921,0.55797607,0.047279913,0.020713992
56,0.0,Sess01_script02_User002M_003.wav,0.06365503,0.08159575,0.10892754,0.061730076,0.57966405,0.06629362,0.038133904
57,0.0,Sess01_script02_User002M_004.wav,0.075976126,0.06703121,0.118864976,0.07850109,0.54569215,0.083584756,0.030349683
58,0.0,Sess01_script02_User002M_005.wav,0.061223708,0.055994164,0.10619727,0.05062413,0.63106495,0.06693065,0.027965212
59,0.0,Sess01_script02_User002M_006.wav,0.058227204,0.046332527,0.14284472,0.056321677,0.6045088,0.059950467,0.03181454
60,0.0,Sess01_script02_User002M_008.wav,0.07413885,0.06282338,0.13872807,0.0632001,0.49654105,0.114292175,0.050276425
61,0.0,Sess01_script02_User002M_009.wav,0.07070686,0.0570312,0.5519732,0.070825815,0.13615872,0.05986091,0.053443164
62,0.0,Sess01_script02_User002M_010.wav,0.092274405,0.08631006,0.09745842,0.10220384,0.4471959,0.1119134,0.06264407
63,0.0,Sess01_script02_User002M_011.wav,0.0860552,0.109300405,0.15900941,0.04681658,0.5034633,0.050726835,0.044628184
64,0.0,Sess01_script02_User002M_012.wav,0.07294146,0.07066986,0.11325584,0.08744718,0.5312135,0.08360671,0.04086537
65,0.0,Sess01_script02_User002M_013.wav,0.05642782,0.069414906,0.07653786,0.06105201,0.5843354,0.09126828,0.060963746
66,0.0,Sess01_script02_User002M_014.wav,0.05250525,0.054626547,0.10106314,0.051238295,0.66672647,0.04501071,0.028829541
67,0.0,Sess01_script02_User002M_015.wav,0.050895706,0.056135528,0.10141913,0.054635942,0.63372093,0.06239394,0.04079891
68,0.0,Sess01_script02_User002M_016.wav,0.09043154,0.073626705,0.13842085,0.071827,0.46108845,0.10800721,0.05659823
69,0.0,Sess01_script02_User002M_017.wav,0.07972606,0.08927501,0.1400087,0.079214215,0.40356532,0.14213218,0.06607856
70,0.0,Sess01_script02_User002M_019.wav,0.06133546,0.07146193,0.09101634,0.058961987,0.5900893,0.08632912,0.040805764
